id,식재료,분류,수량,구매일,유통기한,보관
1,사과,과일,15,8/7,8/11,냉장
2,대파,채소,2,8/17,8/23,냉장
3,마늘,채소,9,8/12,8/22,실온
4,당근,채소,12,8/4,8/8,냉장
5,마늘,채소,1,8/2,8/14,실온
6,바나나,과일,8,8/9,8/17,실온
7,대파,채소,10,8/15,8/24,냉장
8,당근,채소,4,8/15,9/1,냉장
9,대파,채소,14,8/19,9/6,냉장
10,냉동만두,인스턴트,8,8/17,8/27,냉동
11,닭가슴살,육류,600g,8/19,9/2,냉동
12,마늘,채소,7,8/16,8/19,실온
13,대파,채소,8,8/18,8/25,냉장
14,사과,과일,11,8/3,8/16,냉장
15,양파,채소,15,8/21,9/4,실온
16,사과,과일,3,8/18,9/1,냉장
17,대파,채소,4,8/5,8/18,냉장
18,양파,채소,1,8/15,8/22,실온
19,대파,채소,14,8/6,8/26,냉장
20,치즈,유제품,13,8/6,8/12,냉장
21,우유,유제품,14,8/10,8/26,냉장
22,사과,과일,6,8/9,8/20,냉장
23,계란,난류,10,8/21,8/24,냉장
24,바나나,과일,9,8/17,8/27,실온
25,사과,과일,14,8/9,8/27,냉장
26,당근,채소,12,8/7,8/15,냉장
27,치즈,유제품,5,8/5,8/9,냉장
28,마늘,채소,13,8/6,8/18,실온
29,닭가슴살,육류,300g,8/20,9/8,냉동
30,삼겹살,육류,1000g,8/17,9/5,냉장
31,치즈,유제품,5,8/7,8/17,냉장
32,양파,채소,12,8/16,8/21,실온
33,마늘,채소,4,8/18,9/2,실온
34,사과,과일,6,8/18,8/31,냉장
35,당근,채소,15,8/17,8/26,냉장
36,계란,난류,15,8/8,8/25,냉장
37,사과,과일,10,8/19,9/6,냉장
38,마늘,채소,1,8/9,8/26,실온
39,계란,난류,11,8/2,8/11,냉장
40,사과,과일,5,8/19,8/31,냉장
41,치즈,유제품,2,8/3,8/15,냉장
42,대파,채소,6,8/12,8/21,냉장
43,당근,채소,1,8/6,8/11,냉장
44,우유,유제품,2,8/10,8/28,냉장
45,삼겹살,육류,200g,8/8,8/18,냉장
46,닭가슴살,육류,800g,8/12,8/19,냉동
47,소고기,육류,300g,8/8,8/12,냉동
48,양파,채소,7,8/6,8/19,실온
49,대파,채소,14,8/18,8/27,냉장
50,바나나,과일,1,8/10,8/21,실온
51,요거트,유제품,11,8/2,8/13,냉장
52,치즈,유제품,10,8/14,8/29,냉장
53,요거트,유제품,8,8/6,8/12,냉장
54,삼겹살,육류,600g,8/21,8/26,냉장
55,냉동만두,인스턴트,6,8/8,8/28,냉동
56,양파,채소,6,8/11,8/21,실온
57,대파,채소,6,8/21,8/31,냉장
58,마늘,채소,2,8/7,8/14,실온
59,치즈,유제품,13,8/2,8/12,냉장
60,삼겹살,육류,200g,8/14,8/25,냉장
61,양파,채소,15,8/14,8/25,실온
62,대파,채소,9,8/3,8/18,냉장
63,닭가슴살,육류,300g,8/14,9/1,냉동
64,냉동만두,인스턴트,2,8/19,9/4,냉동
65,바나나,과일,14,8/10,8/26,실온
66,바나나,과일,8,8/14,8/29,실온
67,당근,채소,1,8/20,9/6,냉장
68,냉동만두,인스턴트,15,8/11,8/16,냉동
69,사과,과일,7,8/11,8/27,냉장
70,계란,난류,1,8/9,8/23,냉장
71,우유,유제품,7,8/14,9/2,냉장
72,우유,유제품,15,8/9,8/16,냉장
73,계란,난류,9,8/6,8/9,냉장
74,대파,채소,9,8/15,8/18,냉장
75,당근,채소,3,8/17,8/31,냉장
76,요거트,유제품,10,8/15,8/31,냉장
77,양파,채소,1,8/20,9/8,실온
78,당근,채소,9,8/15,8/24,냉장
79,마늘,채소,14,8/17,9/4,실온
80,치즈,유제품,14,8/13,8/17,냉장
81,치즈,유제품,13,8/6,8/12,냉장
82,계란,난류,12,8/11,8/17,냉장
83,바나나,과일,5,8/6,8/22,실온
84,마늘,채소,14,8/9,8/22,실온
85,바나나,과일,13,8/4,8/11,실온
86,우유,유제품,2,8/19,9/5,냉장
87,삼겹살,육류,1000g,8/12,8/28,냉장
88,대파,채소,1,8/18,9/3,냉장
89,당근,채소,6,8/2,8/18,냉장
90,치즈,유제품,4,8/17,8/29,냉장
91,우유,유제품,6,8/3,8/8,냉장
92,당근,채소,3,8/18,8/22,냉장
93,사과,과일,14,8/3,8/17,냉장
94,마늘,채소,1,8/9,8/12,실온
95,사과,과일,3,8/8,8/14,냉장
96,삼겹살,육류,500g,8/12,8/20,냉장
97,우유,유제품,12,8/9,8/29,냉장
98,치즈,유제품,2,8/19,8/24,냉장
99,양파,채소,1,8/7,8/23,실온
100,우유,유제품,15,8/10,8/30,냉장
